ensemblid	counts
ENSMUSG00000002240	0
ENSMUSG00000002249	193
ENSMUSG00000002250	131
ENSMUSG00000002257	5
ENSMUSG00000002265	284
ENSMUSG00000002266	5
ENSMUSG00000002274	1
ENSMUSG00000002279	489
ENSMUSG00000002280	737
ENSMUSG00000002289	1842
ENSMUSG00000002290	30
ENSMUSG00000002297	226
ENSMUSG00000002307	162
ENSMUSG00000002308	348
ENSMUSG00000002319	596
ENSMUSG00000002320	177
ENSMUSG00000002324	299
ENSMUSG00000002325	171
ENSMUSG00000002326	85
ENSMUSG00000002329	210
ENSMUSG00000002332	1124
ENSMUSG00000002341	8
ENSMUSG00000002342	241
ENSMUSG00000002343	27
ENSMUSG00000002345	364
ENSMUSG00000002346	2983
ENSMUSG00000002365	1236
ENSMUSG00000002372	165
ENSMUSG00000002379	504
ENSMUSG00000002384	12
ENSMUSG00000002393	63
ENSMUSG00000002395	174
ENSMUSG00000002396	305
ENSMUSG00000002409	172
ENSMUSG00000002413	2432
ENSMUSG00000002416	324
ENSMUSG00000002428	634
ENSMUSG00000002455	286
ENSMUSG00000002458	168
ENSMUSG00000002459	40
ENSMUSG00000002475	220
ENSMUSG00000002477	268
ENSMUSG00000002486	110
ENSMUSG00000002489	143
ENSMUSG00000002496	2503
ENSMUSG00000002500	2
ENSMUSG00000002504	522
ENSMUSG00000002524	358
ENSMUSG00000002546	366
ENSMUSG00000002550	327
ENSMUSG00000002565	1867
ENSMUSG00000002578	85
ENSMUSG00000002580	216
ENSMUSG00000002588	0
ENSMUSG00000002602	782
ENSMUSG00000002603	68
ENSMUSG00000002608	651
ENSMUSG00000002617	149
ENSMUSG00000002625	87
ENSMUSG00000002633	1
ENSMUSG00000002635	44
ENSMUSG00000002658	135
ENSMUSG00000002660	149
ENSMUSG00000002661	107
ENSMUSG00000002664	2
ENSMUSG00000002668	54
ENSMUSG00000002679	121
ENSMUSG00000002688	68
ENSMUSG00000002699	204
ENSMUSG00000002718	1501
ENSMUSG00000002728	390
ENSMUSG00000002731	150
ENSMUSG00000002732	8
ENSMUSG00000002733	633
ENSMUSG00000002741	333
ENSMUSG00000002748	1443
ENSMUSG00000002763	195
ENSMUSG00000002767	176
ENSMUSG00000002768	120
ENSMUSG00000002769	11
ENSMUSG00000002771	4
ENSMUSG00000002778	975
ENSMUSG00000002781	104
ENSMUSG00000002791	3
ENSMUSG00000002797	44
ENSMUSG00000002799	6
ENSMUSG00000002803	211
ENSMUSG00000002804	76
ENSMUSG00000002808	160
ENSMUSG00000002812	710
ENSMUSG00000002814	60
ENSMUSG00000002820	63
ENSMUSG00000002825	65
ENSMUSG00000002831	80
ENSMUSG00000002833	61
ENSMUSG00000002835	30
ENSMUSG00000002844	57
ENSMUSG00000002845	843
ENSMUSG00000002846	166
ENSMUSG00000002847	11
ENSMUSG00000002870	486
ENSMUSG00000002871	356
ENSMUSG00000002881	987
ENSMUSG00000002885	255
ENSMUSG00000002897	286
ENSMUSG00000002900	2917
ENSMUSG00000002908	5
ENSMUSG00000002910	21
ENSMUSG00000002930	3
ENSMUSG00000002944	11134
ENSMUSG00000002948	387
ENSMUSG00000002949	639
ENSMUSG00000002957	2196
ENSMUSG00000002963	101
ENSMUSG00000002968	240
ENSMUSG00000002980	2371
ENSMUSG00000002981	1892
ENSMUSG00000002983	287
ENSMUSG00000002984	345
ENSMUSG00000002985	923
ENSMUSG00000002992	623
ENSMUSG00000002996	1844
